#TYPE Microsoft.GroupPolicy.GpoBackup
"DisplayName","GpoId","Id","BackupDirectory","CreationTime","DomainName","Comment"
"ok - Citrix R: drive Training","a97bfa2c-6e63-4992-9596-909650a033c2","bc5c6ce9-525c-45a4-a58e-1ede5ea8631e","\\dd2500\Backups\GP","2/26/2018 1:27:33 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Office365_Users_MF","ab061052-8da5-40c8-a593-f3f332223bb4","a05daa86-c335-4f56-9dfa-4cc98fa6647c","\\dd2500\Backups\GP","2/26/2018 1:27:49 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Screen Saver Polisa","ab5ecaa1-2a56-4ded-bdcd-7ec97c0ad268","776c7aba-a052-4c55-928c-8fab7cbb0675","\\dd2500\Backups\GP","2/26/2018 1:27:57 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - Testing","b37413ca-1311-4657-b58c-83d925c75bd4","43ab39ce-2f53-4f59-a3fb-14d22eff7e9a","\\dd2500\Backups\GP","2/26/2018 1:28:15 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live FC3","b38e4499-42e3-412f-b0c8-1c1722e7f585","b075c7ba-3107-495e-b6d8-c9a95b070d90","\\dd2500\Backups\GP","2/26/2018 1:28:43 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy","b50908d5-1201-425c-95e7-5f7d03ea7d33","91365b4c-8630-4ded-9de9-c0f5396b1eb2","\\dd2500\Backups\GP","2/26/2018 1:29:07 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Instalacija softwarea za brojacice novca","b9f7ccb0-6461-417a-aa61-d7bb432f0a03","b75e647d-6bca-49fc-b1c8-f9da92634e79","\\dd2500\Backups\GP","2/26/2018 1:29:34 AM","deltabank.co.yu","Weekly GP Backup"
"ok - ArcSight User - Manage auditing and security log","bae10747-0a44-4d51-a5c4-36b7c37d46cc","3d839842-3c11-4da3-8831-b52b8cfddcf6","\\dd2500\Backups\GP","2/26/2018 1:29:42 AM","deltabank.co.yu","Weekly GP Backup"
"ok - IR2","bb097afd-dbb1-4c07-9f2c-5ff5f0693239","69b4e223-4f82-4263-96c9-75e18be8b60b","\\dd2500\Backups\GP","2/26/2018 1:29:51 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Disable Messenger service","bf870fa0-6b59-4de4-a3bf-9416f29720d5","e4cf899a-bdd6-422c-b739-601f5c246bca","\\dd2500\Backups\GP","2/26/2018 1:30:11 AM","deltabank.co.yu","Weekly GP Backup"
"SCCM & WSUS Policy","c52f08e6-0875-4c2d-a8cd-d2029834a2cd","854492aa-6f68-4787-bf4e-45a00214ea8d","\\dd2500\Backups\GP","2/26/2018 1:30:25 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Firewall Policy","c5556f7d-2e9c-4e2b-9784-5c51b22f5474","0a2836b0-ba90-4ae3-83aa-5846bdad4b18","\\dd2500\Backups\GP","2/26/2018 1:30:42 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Forced Disabled SlowLinkDetect + IE maint always process","c71fb0fc-501d-4078-9c92-87e2ac7fd75b","489422bf-f113-477c-be6c-b397ce734589","\\dd2500\Backups\GP","2/26/2018 1:30:57 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live FC2","c85e33da-bd3f-45a4-8178-a6a207116560","30423f24-f23c-4974-82a7-58f6c8611ba8","\\dd2500\Backups\GP","2/26/2018 1:31:15 AM","deltabank.co.yu","Weekly GP Backup"
"ok - DisableAutorun","d1f6ae24-956d-4d20-8d55-16b64e08b2b3","0c2f7326-8206-4200-b133-83b9394c3b79","\\dd2500\Backups\GP","2/26/2018 1:31:39 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Proxy Service","d33d895a-1b59-47bb-ab24-65eb3c6f174d","e4d2c1b2-032b-44c7-9172-10ee55bfa81d","\\dd2500\Backups\GP","2/26/2018 1:31:52 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Proxy Service with IE11 Settings no bancaintesa.rs","d6347836-c116-4776-8321-38c04b46d62d","a578c41c-720c-471b-a8a4-62659dc12bf2","\\dd2500\Backups\GP","2/26/2018 1:32:35 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Script StartUp - WS_admins","d7a4e41e-68c7-4449-aa94-9faf8aac630b","1dcc5197-d3fe-473d-8f59-960a2bf7243c","\\dd2500\Backups\GP","2/26/2018 1:33:22 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix R: drive Testing","d8af1e75-3014-46fe-be0c-4f22533006c4","2dad3f51-a667-4502-93bd-a980a28a8423","\\dd2500\Backups\GP","2/26/2018 1:33:44 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy FC1","d8e003ec-41b1-4059-8520-694430fb720b","e3122b66-d48e-4e4b-a79d-446b9bd323a2","\\dd2500\Backups\GP","2/26/2018 1:33:59 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Settings Policy - Training","dc726e4c-3d5e-4c6a-a944-867781091cba","52561f8d-921d-47cf-8ff4-f895d7ea1a4b","\\dd2500\Backups\GP","2/26/2018 1:34:28 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix Windows Update","e6fa70f2-6469-43fd-8039-75fe1d67b5e9","75d96b87-9113-4a85-907d-807b10729936","\\dd2500\Backups\GP","2/26/2018 1:34:56 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live Testing","e739fa9b-9882-4b4b-91e1-59c190c57c49","e6710c3e-17c8-45ba-b6d8-1b5def1f7e0f","\\dd2500\Backups\GP","2/26/2018 1:35:03 AM","deltabank.co.yu","Weekly GP Backup"
"Ok - Map FSI-MM to HRZARADE","e7955d08-b7a4-4a45-8a9b-9ed0b53bec63","c0b1d723-7922-49d8-984d-8d0a5ffc5392","\\dd2500\Backups\GP","2/26/2018 1:35:24 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Leasing - No Screen Saver","e82b4abf-b420-46c1-9cb9-8d436220e63d","0e7afa07-9bcd-4010-8f41-c18d341944ba","\\dd2500\Backups\GP","2/26/2018 1:35:40 AM","deltabank.co.yu","Weekly GP Backup"
"ok ? ServersBasicPolicy no Windows Update","e8ea66e9-53a7-4112-a3e3-afcabdd50659","d65c5cb3-1524-4a53-b968-6b7b16fbfd92","\\dd2500\Backups\GP","2/26/2018 1:35:52 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Outlook Settings","e9c91f35-c17f-46ac-930d-d7737cbec9fc","dc71a1e9-268f-44f9-ab5c-2e310ed6871a","\\dd2500\Backups\GP","2/26/2018 1:36:10 AM","deltabank.co.yu","Weekly GP Backup"
"ok - InteractiveServiceLogin","eb65feaf-4c58-46c6-80d4-fa3490d75466","e8aad030-3149-4073-9bae-6482811031d3","\\dd2500\Backups\GP","2/26/2018 1:36:18 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy Maintenance","ebdefd0e-c753-4c81-8f06-f869ab47a1c1","ef0cd87c-f37e-468d-9284-e31d211e7910","\\dd2500\Backups\GP","2/26/2018 1:36:31 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy FC3","eea60ce5-2e14-4534-ad98-0b510901e1d7","ea79cc43-8ef9-43ad-859b-aa6bc2dbe566","\\dd2500\Backups\GP","2/26/2018 1:37:01 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Intermediate Certification Install","f6373c27-63ab-475f-80e7-5059e7e4853c","6b44caed-b11b-4457-9352-181dbfeb7c64","\\dd2500\Backups\GP","2/26/2018 1:37:29 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Card - BW3_live Develop","f6400065-eacf-4860-8e4b-8dca6c5dbc82","a525f246-60ad-414e-a722-5cbf18664ab6","\\dd2500\Backups\GP","2/26/2018 1:37:47 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Disable Firewall","f6f64287-ca19-44c3-83b7-64e10787734a","dfc4e033-1a7b-49a8-96c4-ac2991bc5c91","\\dd2500\Backups\GP","2/26/2018 1:38:09 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Citrix XenApp Policy FC2","f75e309e-6731-4365-b192-64e19c4642d6","5a238aa7-68ee-4e53-9db5-504866772dbc","\\dd2500\Backups\GP","2/26/2018 1:38:25 AM","deltabank.co.yu","Weekly GP Backup"
"Domenska polisa 1.0","fbde3c0b-c489-4d73-a647-48701dbc19d5","f9504972-d91b-42e7-ad49-31c14bf7b8a2","\\dd2500\Backups\GP","2/26/2018 1:38:53 AM","deltabank.co.yu","Weekly GP Backup"
"Test - Printer redirection","fd44d83e-232d-4359-a491-aac23606093c","94eb6d1a-7384-4707-b95d-ad8c160e5b81","\\dd2500\Backups\GP","2/26/2018 1:39:39 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Remote Assistance","fe9eb1e7-a475-452a-bda8-b5d11c95b89a","9ccac90b-a698-44ed-ac1a-ecc1fac6ed0f","\\dd2500\Backups\GP","2/26/2018 1:39:52 AM","deltabank.co.yu","Weekly GP Backup"
"ok - Remote Registry Servis","ffe19de1-435b-4c8d-9b76-81c805853435","90c7fafd-1443-49ed-8c5b-b6c642152f20","\\dd2500\Backups\GP","2/26/2018 1:40:17 AM","deltabank.co.yu","Weekly GP Backup"
