"oCiType","oName","LocId","osType","osName","Domain","Operating_System"
"OS.VM","MB-APP-1","PRM.CED","OS.VM","MB-APP-1","ebank","Microsoft® Windows ® 2008 Standard"
"OS.VM","XENAPP-038","PRM.CED","OS.VM","XENAPP-038","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","CSAPP1","PRM.CED","OS.VM","CSAPP1","deltabank","Microsoft Windows 2008 R2 Standard"
"OS.VM","DEV_NLB12","PRM.CED","OS.VM","DEV_NLB12","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","XENAPP-021","PRM.CED","OS.VM","XENAPP-021","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","WRPSQLNODE2","PRM.CED","OS.VM","WRPSQLNODE2","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","sec-nessus","SRB.BGD.SS","OS.VM","sec-nessus","DELTABANK","Oracle Enterprise Linux 5"
"OS.VM","DC-BG-12","SRB.BGD.SS","OS.VM","DC-BG-12","deltabank","Microsoft Windows 2016 Standard"
"OS.VM","MOBI-APP-2","PRM.CED","OS.VM","MOBI-APP-2","online","Microsoft Windows 2008 R2 Standard"
"OS.VM","XENAPP-058","PRM.CED","OS.VM","XENAPP-058","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","XENAPP-WI1","PRM.CED","OS.VM","XENAPP-WI1","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","PP_NLB13","PRM.CED","OS.VM","PP_NLB13","deltabank","Microsoft Windows 2012 R2 Standard"
"OS.VM","ADAPTER4","PRM.CED","OS.VM","ADAPTER4","ebank","Microsoft Windows 2003 Standard"
"OS.VM","DCEBANK91","PRM.CED","OS.VM","DCEBANK91","ebank","Microsoft Windows 2016 Standard"
"OS.VM","XENAPP-118","PRM.CED","OS.VM","XENAPP-118","deltabank","Microsoft Windows 2003 Standard"
"OS.VM","DCONLINE91","PRM.CED","OS.VM","DCONLINE91","online","Microsoft Windows 2016 Standard"
"OS.VM","WSACRINTESA02","PRM.CED","OS.VM","WSACRINTESA02","deltabank","Microsoft® Windows ® 2008 Standard"
"OS.VM","SSEBANK1","PRM.CED","OS.VM","SSEBANK1","ebank","Microsoft Windows 2003 Standard"
"OS.VM","OCR7-PS-18","PRM.CED","OS.VM","OCR7-PS-18","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","PRGWS11","PRM.CED","OS.VM","PRGWS11","deltabank","Microsoft Windows 7 Enterprise"
"OS.VM","dns-dmz2","SRB.BGD.SS","OS.VM","dns-dmz2","DMZ","CentOS 6.9 (x86_64)"
"mssql.srv","AIRB\AIRB","PRM.CED","","BI2-NODE2","",""
"mssql.srv","APSQL\APSQL","PRM.CED","","PPAP-NODE23","",""
"MSSQL.SRV","ARHPP","PRM.CED","OS.VM","ARHPP","deltabank","Microsoft Windows 2012 R2 Standard"
"MSSQL.SRV","ARHWB\WBSQL","PRM.CED","","ARHWB","",""
"MSSQL.SRV","ARISDS","PRM.CED","OS.VM","ARISDS","deltabank","Microsoft Windows 2012 R2 Standard"
"mssql.srv","BGDSQL\BGDSQL","SRB.BGD.SS","","BGDSQL-NODE2","",""
"mssql.srv","BIBcoSQL","PRM.CED","","BIBCO-NODE2","",""
"MSSQL.SRV","BIBEX","SRB.BGD.SS","OS.VM","BIBEX","deltabank","Microsoft Windows 2012 R2 Standard"
"mssql.srv","BiEXT\BiEXT","PRM.CED","","BI2-NODE2","",""
"mssql.srv","BiSql","PRM.CED","","BI-NODE2","",""
"MSSQL.SRV","BIZSQL","PRM.CED","OS.VM","BIZSQL","online","Microsoft Windows 2012 R2 Standard"
