#TYPE Selected.VMware.VimAutomation.ViCore.Impl.V1.AnnotationManagement.AnnotationImpl
"Value","AnnotatedEntity"
"Thu Jul 20 18:22:43 2017
,bib-master,vmware_noprod_be-vce-bib_daily","www-app-01"
"Thu Jul 20 18:18:55 2017
,bib-master,vmware_noprod_be-vce-bib_daily","DG-test-01"
"Thu Jul 20 18:33:27 2017
,bib-master,vmware_noprod_be-vce-bib_daily","BIZONLINE"
"Thu Jul 20 18:38:07 2017
,bib-master,vmware_noprod_be-vce-bib_daily","CSAPP2"
"Thu Jul 20 18:46:04 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Almpro4"
"Thu Jul 20 18:02:21 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ob-gateway1"
"Thu Jul 20 18:48:38 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ADAPTER4"
"Thu Jul 20 18:26:03 2017
,bib-master,vmware_noprod_be-vce-bib_daily","PrgWs7-86"
"Thu Jul 20 19:04:47 2017
,bib-master,vmware_noprod_be-vce-bib_daily","Obr7-Mas-07"
"Thu Jul 20 19:15:21 2017
,bib-master,vmware_noprod_be-vce-bib_daily","AppProxy"
"Thu Jul 20 18:44:53 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ILMT"
"Thu Jul 20 18:15:48 2017
,bib-master,vmware_noprod_be-vce-bib_daily","EXnlb1"
"Thu Jul 20 18:57:49 2017
,bib-master,vmware_noprod_be-vce-bib_daily","ADAPTER3"
"Thu Jul 20 18:49:33 2017
,bib-master,vmware_noprod_be-vce-bib_daily","nagios-prm"
"Thu Jul 20 18:05:52 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-20"
"Thu Jul 20 18:02:32 2017
,bib-master,vmware_noprod_be-vce-bib_daily","EDMS"
"Thu Jul 20 18:35:28 2017
,bib-master,vmware_noprod_be-vce-bib_daily","CSPlatform"
"Thu Jul 20 23:31:38 2017
,bib-master,vmware_bigsize_be-vce-bib_daily","HobitDB"
"Thu Jul 20 18:19:34 2017
,bib-master,vmware_noprod_be-vce-bib_daily","mx-out-01"
"Thu Jul 20 18:38:26 2017
,bib-master,vmware_noprod_be-vce-bib_daily","mobi-app-1"
"Thu Jul 20 18:50:08 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-09"
"Thu Jul 20 23:32:11 2017
,bib-master,vmware_bigsize_be-vce-bib_daily","ARHWB"
"Thu Jul 20 18:02:15 2017
,bib-master,vmware_noprod_be-vce-bib_daily","VMAILSERVER3"
"Thu Jul 20 18:48:42 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OCR7-PS-04"
"Thu Jul 20 19:15:44 2017
,bib-master,vmware_noprod_be-vce-bib_daily","OBR7-MAS-28"
